year,quarter,price,totexp,"year, quarter",Average Price per quarter,Average total exp per quarter
2009,2,0.4426384,"$84,632,504",,,
2009,2,0.4663451,"$86,813,100",,,
2009,2,0.5091743,"$92,287,404","2009, Q2",0.487638233,"$51,353,272 "
2009,3,0.4645687,"$9,624,902",,,
2009,3,0.5165322,"$11,349,192",,,
2009,3,0.4613638,"$13,495,603",,,
2009,3,0.4312288,"$67,721,078",,,
2009,3,0.4521942,"$70,757,262",,,
2009,3,0.4505524,"$80,112,097","2009, Q3",0.462740017,"$42,176,689 "
2009,4,0.4479296,"$7,418,386",,,
2009,4,0.5721496,"$8,642,150",,,
2009,4,0.5225911,"$9,960,617",,,
2009,4,0.5258416,"$49,288,848",,,
2009,4,0.4162625,"$53,730,951",,,
2009,4,0.5151286,"$54,145,663","2009, Q4",0.499983833,"$30,531,103 "
2010,1,0.4217391,"$10,587,089",,,
2010,1,0.49778,"$12,146,145",,,
2010,1,0.4896193,"$12,804,013",,,
2010,1,0.5167036,"$67,139,372",,,
2010,1,0.513521,"$72,789,435",,,
2010,1,0.4031933,"$73,728,217","2010, Q1 ",0.473759383,"$41,532,378 "
2010,2,0.4494585,"$12,092,197",,,
2010,2,0.511523,"$15,875,180",,,
2010,2,0.4894339,"$17,662,117",,,
2010,2,0.4361569,"$89,338,473",,,
2010,2,0.4839476,"$90,589,907",,,
2010,2,0.4888231,"$95,639,609","2010, Q2",0.476557167,"$53,532,914 "
2010,3,0.4417109,"$10,883,834",,,
2010,3,0.5328671,"$12,345,523",,,
2010,3,0.4717977,"$13,726,663",,,
2010,3,0.4279886,"$69,864,380",,,
2010,3,0.4507147,"$71,276,890",,,
2010,3,0.4549963,"$84,770,050","2010, Q3",0.463345883,"$43,811,223 "
2010,4,0.4864635,"$7,151,982",,,
2010,4,0.5376585,"$11,005,910",,,
2010,4,0.6571261,"$11,150,403",,,
2010,4,0.5024437,"$52,184,504",,,
2010,4,0.4355011,"$52,649,958",,,
2010,4,0.4993678,"$59,907,340","2010, Q4",0.519760117,"$32,341,683 "
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
